basename,latitude,longitude,yaw_degree_gimbal,pitch_degree_gimbal,roll_degree_gimbal,image_w,image_h,image_GSDH,image_GSDV,date_time_original,relative_im_path,relative_altitude,absolute_altitude,yaw_degrees_drone,pitch_degrees_drone,roll_degrees_drone,flight_x_speed,flight_y_speed,flight_z_speed,cam_reverse,gimbal_reverse,Timestamp_ms
DJI_20241128154239_0001,-13.8818156944444,-73.0349101944444,139.5,-90.0,180.0,5280,3956,0.004023457726163178,0.0040120948003300756,2024:11:28 15:42:39,./data/mavic3m/campo2/Viaje3-27-Nov/DJI_202411281538_002_acco2-campo2//DJI_20241128154239_0001_D.JPG,15.005,2210.897,-41.1,-1.1,3.5,0.2,-0.6,0.0,0,0,1732808559000
DJI_20241128154241_0002,-13.8817958611111,-73.0349295833333,138.9,-90.0,180.0,5280,3956,0.004026943560914269,0.004015570790493641,2024:11:28 15:42:41,./data/mavic3m/campo2/Viaje3-27-Nov/DJI_202411281538_002_acco2-campo2//DJI_20241128154241_0002_D.JPG,15.018,2210.91,-40.9,5.1,2.8,1.1,-0.9,0.0,0,0,1732808561000
DJI_20241128154244_0003,-13.881773,-73.0349504722222,138.9,-90.0,180.0,5280,3956,0.00402265330275908,0.004011292648753868,2024:11:28 15:42:44,./data/mavic3m/campo2/Viaje3-27-Nov/DJI_202411281538_002_acco2-campo2//DJI_20241128154244_0003_D.JPG,15.002,2210.894,-40.9,2.4,3.9,1.1,-1.0,0.0,0,0,1732808564000
DJI_20241128154246_0004,-13.8817495555556,-73.0349722222222,138.9,-90.0,180.0,5280,3956,0.004028820548857164,0.0040174424775047905,2024:11:28 15:42:46,./data/mavic3m/campo2/Viaje3-27-Nov/DJI_202411281538_002_acco2-campo2//DJI_20241128154246_0004_D.JPG,15.025,2210.938,-41.1,3.9,4.5,1.0,-0.9,0.0,0,0,1732808566000
DJI_20241128154249_0005,-13.8817254722222,-73.0349935555556,139.0,-90.0,180.0,5280,3956,0.004028284266587765,0.004016907709787319,2024:11:28 15:42:49,./data/mavic3m/campo2/Viaje3-27-Nov/DJI_202411281538_002_acco2-campo2//DJI_20241128154249_0005_D.JPG,15.023,2210.93,-41.0,4.3,1.8,1.0,-0.8,0.0,0,0,1732808569000
DJI_20241128154252_0006,-13.8817017222222,-73.0350146388889,-41.0,-89.9,0.0,5280,3956,0.004028820548857164,0.0040174424775047905,2024:11:28 15:42:52,./data/mavic3m/campo2/Viaje3-27-Nov/DJI_202411281538_002_acco2-campo2//DJI_20241128154252_0006_D.JPG,15.025,2210.923,-41.1,4.2,3.4,1.0,-0.9,0.0,0,0,1732808572000
DJI_20241128154254_0007,-13.8816789444444,-73.0350340555556,-41.0,-89.9,0.0,5280,3956,0.0040132683630446035,0.004001934213698116,2024:11:28 15:42:54,./data/mavic3m/campo2/Viaje3-27-Nov/DJI_202411281538_002_acco2-campo2//DJI_20241128154254_0007_D.JPG,14.967,2210.866,-40.9,3.1,1.2,1.0,-0.8,0.0,0,0,1732808574000
DJI_20241128154256_0008,-13.8816561944444,-73.0350548333333,-41.1,-89.9,0.0,5280,3956,0.004016486056660996,0.004005142820002945,2024:11:28 15:42:56,./data/mavic3m/campo2/Viaje3-27-Nov/DJI_202411281538_002_acco2-campo2//DJI_20241128154256_0008_D.JPG,14.979,2210.891,-40.9,2.6,2.8,1.0,-0.8,0.0,0,0,1732808576000
DJI_20241128154259_0009,-13.8816329444444,-73.0350764722222,139.0,-90.0,180.0,5280,3956,0.004020776314816184,0.004009420961742718,2024:11:28 15:42:59,./data/mavic3m/campo2/Viaje3-27-Nov/DJI_202411281538_002_acco2-campo2//DJI_20241128154259_0009_D.JPG,14.995,2210.914,-41.0,3.7,1.6,1.0,-0.7,0.0,0,0,1732808579000
DJI_20241128154302_0010,-13.8816101944444,-73.0350968055556,138.9,-90.0,180.0,5280,3956,0.004025870996375471,0.0040145012550586966,2024:11:28 15:43:02,./data/mavic3m/campo2/Viaje3-27-Nov/DJI_202411281538_002_acco2-campo2//DJI_20241128154302_0010_D.JPG,15.014,2210.93,-41.1,3.6,2.7,1.0,-0.8,0.0,0,0,1732808582000
DJI_20241128154304_0011,-13.88158775,-73.0351160555556,-41.1,-89.9,0.0,5280,3956,0.004016486056660996,0.004005142820002945,2024:11:28 15:43:04,./data/mavic3m/campo2/Viaje3-27-Nov/DJI_202411281538_002_acco2-campo2//DJI_20241128154304_0011_D.JPG,14.979,2210.874,-41.2,-0.1,3.0,1.1,-0.8,0.0,0,0,1732808584000
